area,lat_c,lon_c,Погибло,Ранено,Кол-во ТС,Кол-во участников
Алексеевский,55.811254500000004,37.6174191,0.0,15.0,25.0,35.0
Алтуфьевский,55.8790002,37.569239,0.0,10.0,15.0,20.0
Арбат,55.751066200000004,37.574420399999994,10.0,20.0,35.0,60.0
Аэропорт,55.8006863,37.5244816,0.0,30.0,35.0,60.0
Бабушкинский,55.86696429999999,37.6446784,5.0,35.0,75.0,95.0
Басманный,55.76654250000001,37.6352491,0.0,5.0,10.0,10.0
Беговой,55.78334399999999,37.547185999999996,0.0,10.0,20.0,25.0
Бескудниковский,55.86392829999999,37.5338731,0.0,15.0,15.0,20.0
Бибирево,55.895867200000005,37.598309,5.0,35.0,55.0,70.0
Бирюлево Восточное,55.5967465,6465498,0.0,30.0,35.0,55.0
Бирюлево Западное,55.591208,37.6033667,0.0,20.0,40.0,55.0
Богородское,55.820196499999994,37.6727057,0.0,15.0,15.0,30.0
Братеево,55.6328907,37.742884499999995,0.0,15.0,25.0,30.0
Вешняки,55.729634700000005,37.7724354,0.0,10.0,10.0,20.0
Внуковское,55.622910700000006,37.296896600000004,0.0,30.0,35.0,40.0
Войковский,55.8279003,37.478873,0.0,5.0,5.0,10.0
Вороновское поселение,55.3191545,37.1579721,0.0,10.0,15.0,20.0
Восточное Дегунино,55.875395499999996,37.523320399999996,0.0,5.0,5.0,10.0
Выхино-Жулебино,55.6984775,37.7907594,0.0,45.0,65.0,80.0
Гагаринский,55.6977238,37.541548,0.0,20.0,25.0,40.0
Головинский,55.8525451,37.47467879999999,0.0,40.0,45.0,65.0
Гольяново,55.829107799999996,37.7595033,0.0,15.0,40.0,50.0
Даниловский,55.707088899999995,37.6015638,0.0,50.0,65.0,90.0
Десёновское,55.5269812,37.3121622,0.0,10.0,10.0,15.0
Дмитровский,55.890226299999995,37.5069489,0.0,20.0,25.0,40.0
Донской,55.705505599999995,37.587770899999995,0.0,30.0,40.0,60.0
Дорогомилово,55.738417000000005,37.496594,0.0,15.0,25.0,35.0
Замоскворечье,55.734974300000005,37.6168854,0.0,15.0,30.0,40.0
Западное Дегунино,55.8706765,37.4845784,0.0,15.0,40.0,45.0
Зюзино,55.654125199999996,37.57088710000001,0.0,20.0,25.0,45.0
Ивановское,55.7681105,37.7877453,5.0,10.0,35.0,45.0
Измайлово,55.7814355,37.738690399999996,0.0,20.0,20.0,40.0
Капотня,55.6408751,37.795004,0.0,15.0,25.0,35.0
Клёновское,55.323086200000006,37.3355604,0.0,15.0,10.0,25.0
Коньково,55.6415067,37.5140593,0.0,25.0,30.0,50.0
Коптево,55.83028829999999,37.5150056,0.0,5.0,10.0,15.0
Косино-Ухтомский,55.7142525,37.855311900000004,0.0,35.0,35.0,65.0
Котловка,55.6782437,37.578646,0.0,5.0,10.0,10.0
Краснопахорское поселение,55.3929075,37.2263699,0.0,5.0,10.0,15.0
Красносельский,55.776518200000005,37.640349,0.0,10.0,10.0,20.0
Крылатское,55.7612055,37.379387799999996,0.0,20.0,30.0,35.0
Крюково,55.973269099999996,37.1463807,0.0,10.0,10.0,20.0
Кузьминки,55.699009200000006,37.757403000000004,0.0,5.0,5.0,10.0
Кунцево,55.7698215,37.312934600000006,0.0,5.0,20.0,20.0
Куркино,55.8923911,37.3599124,0.0,10.0,10.0,20.0
Левобережный,55.865112800000006,37.4489601,0.0,5.0,5.0,10.0
Лефортово,55.754555,37.667882399999996,0.0,50.0,70.0,95.0
Лианозово,55.899690799999995,37.5455561,0.0,15.0,25.0,30.0
Ломоносовский,55.67927220000001,37.515852100000004,0.0,15.0,20.0,30.0
Лосиноостровский,55.878694499999995,37.6796597,0.0,5.0,5.0,10.0
Люблино,55.674418,37.7415304,0.0,35.0,80.0,90.0
Марфино,55.83290329999999,37.5708415,0.0,5.0,10.0,15.0
Марьина роща,55.7966974,37.593924,0.0,15.0,20.0,30.0
Марьино,55.654467000000004,37.7050294,0.0,20.0,30.0,40.0
Матушкино,56.002766799999996,37.1884884,0.0,10.0,10.0,20.0
Метрогородок,55.844897499999995,37.6928148,0.0,5.0,10.0,10.0
Мещанский,55.7782312,37.611418,0.0,5.0,5.0,10.0
Митино,55.84499350000001,37.3292397,0.0,45.0,45.0,85.0
Можайский,55.714543000000006,37.3806739,5.0,15.0,45.0,50.0
Молжаниновский,55.951136,37.3333151,5.0,0.0,10.0,15.0
Москворечье-Сабурово,55.6433724,37.6405423,0.0,10.0,15.0,20.0
Московский,55.5954872,37.3388786,0.0,30.0,60.0,70.0
Нагатино-Садовники,55.671144999999996,37.6081213,10.0,40.0,50.0,85.0
Нагатинский затон,55.6733084,37.6474543,0.0,20.0,35.0,45.0
Нагорный,55.6658574,37.579895799999996,0.0,5.0,10.0,10.0
Некрасовка,55.6982644,37.9018244,0.0,10.0,15.0,25.0
Нижегородский,55.7331395,37.6888364,0.0,10.0,10.0,20.0
Ново-Переделкино,55.646004000000005,37.3229588,0.0,15.0,15.0,25.0
Новогиреево,55.7480392,37.7831745,0.0,30.0,30.0,55.0
Новокосино,55.740038299999995,37.847778999999996,0.0,5.0,10.0,15.0
Новофёдоровское поселение,55.4646325,36.9422312,0.0,10.0,10.0,20.0
Обручевский,55.65830450000001,37.4841739,0.0,5.0,10.0,15.0
Орехово-Борисово Северное,55.6212285,37.6830655,0.0,10.0,20.0,30.0
Орехово-Борисово Южное,55.6034882,37.7043788,0.0,30.0,50.0,70.0
Останкинский,55.828274,37.5797836,0.0,35.0,60.0,70.0
Отрадное,55.86351170000001,37.5851094,5.0,10.0,20.0,30.0
Очаково-Матвеевское,55.6918259,37.4103994,0.0,15.0,25.0,40.0
Перово,55.751396400000004,37.7288449,0.0,10.0,15.0,20.0
Печатники,55.682592500000005,37.667790000000004,5.0,20.0,40.0,55.0
Покровское-Стрешнево,55.8246662,37.4073804,0.0,20.0,30.0,45.0
Пресненский,55.760243,37.5266734,0.0,25.0,35.0,60.0
Проспект Вернадского,55.675764199999996,37.4811881,0.0,15.0,25.0,30.0
Раменки,55.708156499999994,37.4775554,0.0,20.0,35.0,45.0
Роговское поселение,55.219355,36.9872729,0.0,5.0,15.0,20.0
Ростокино,55.835214799999996,37.6337045,0.0,10.0,20.0,20.0
Рязановское,55.4834412,37.489431,0.0,5.0,10.0,10.0
Рязанский,55.7210752,37.7502465,0.0,10.0,10.0,20.0
Свиблово,55.8531767,37.6306035,0.0,25.0,35.0,55.0
Северное Бутово,55.568622700000006,37.553081899999995,0.0,5.0,5.0,10.0
Северное Медведково,55.8875293,37.634719399999994,15.0,35.0,50.0,80.0
Северное Тушино,55.864236600000005,37.4097081,0.0,15.0,35.0,40.0
Северный,55.932066000000006,37.5143902,0.0,5.0,5.0,10.0
Сокол,55.803306799999994,37.485499100000006,0.0,10.0,10.0,20.0
Соколиная гора,55.7732782,37.6923343,0.0,15.0,20.0,35.0
Сокольники,55.8033065,37.642338,0.0,5.0,10.0,10.0
Сосенское,54.0552637,35.9439001,0.0,25.0,30.0,45.0
Строгино,55.80033100000001,37.3717219,5.0,40.0,50.0,80.0
Таганский,55.740745600000004,37.6554001,0.0,20.0,35.0,50.0
Тверской,55.7697969,37.5697909,0.0,20.0,20.0,40.0
Текстильщики,55.70707120000001,37.711149600000006,0.0,25.0,25.0,45.0
Теплый Стан,55.6301789,37.4527735,10.0,30.0,45.0,70.0
Тимирязевский,55.8274235,37.522911900000004,5.0,25.0,50.0,65.0
Троицк,55.4796889,37.261019399999995,0.0,10.0,25.0,30.0
Тропарево-Никулино,55.6608,37.4327745,5.0,35.0,60.0,95.0
Филевский парк,55.738494,37.4551771,0.0,15.0,15.0,30.0
Фили-Давыдково,55.7266503,37.450640500000006,5.0,10.0,25.0,35.0
Филимонковское,54.0552637,35.9439001,0.0,15.0,20.0,25.0
Хамовники,55.7305435,37.541222399999995,10.0,20.0,35.0,55.0
Ховрино,55.86904989999999,37.4700018,0.0,10.0,10.0,20.0
Хорошево-Мневники,55.7681567,37.4265638,0.0,15.0,25.0,25.0
Хорошевский,55.7818783,37.4939813,0.0,10.0,10.0,20.0
Царицыно,55.625995700000004,37.6381936,0.0,10.0,25.0,25.0
Черемушки,55.666021,37.5445885,0.0,5.0,5.0,10.0
Чертаново Северное,55.631025199999996,37.59103220000001,0.0,10.0,10.0,20.0
Чертаново Центральное,55.61382270000001,37.589865100000004,0.0,15.0,15.0,20.0
Чертаново Южное,55.588764000000005,37.5684554,0.0,15.0,25.0,35.0
Щаповское поселение,55.417757,37.402703,5.0,10.0,30.0,40.0
Щербинка,55.5038442,37.5353479,0.0,20.0,15.0,35.0
Южное Бутово,55.525338500000004,37.505103000000005,5.0,55.0,95.0,120.0
Южное Медведково,55.87363829999999,37.6185945,5.0,15.0,20.0,40.0
Южное Тушино,55.84245550000001,37.3957604,5.0,10.0,15.0,30.0
Южнопортовый,55.71464770000001,37.6625086,0.0,5.0,5.0,10.0
Якиманка,55.7302647,37.5841625,0.0,5.0,10.0,10.0
Ярославский,55.862362,37.6634776,0.0,30.0,45.0,60.0
Ясенево,55.615326,37.506847,0.0,5.0,5.0,10.0
