AO,lat_c,lon_c,crimes_woman,crimes_man
Центральный АО,55.7568,37.6191,868.0,4050.0
Северо-Восточный АО,55.8574,37.623000000000005,623.0,3293.0
Восточный АО,55.7922,37.7871,970.0,4571.0
Юго-Восточный АО,55.6929,37.7693,597.0,3411.0
Южный АО,55.6383,37.6553,813.0,3595.0
Юго-Западный АО,55.6321,37.5413,628.0,2953.0
Западный АО,55.7095,37.4479,798.0,3410.0
Северо-Западный АО,55.8273,37.4342,520.0,2383.0
Северный АО,55.8722,37.5921,751.0,3150.0
Зеленоградский АО,55.9872,37.1963,265.0,782.0
"Новомосковский и Троицкий АО",55.599,37.348,341.0,1637.0
