AO,area,lat_c,lon_c,fiers2017,fiers2016,deaths2017,deaths2016,injuries2017,injuries2016,saved2017,saved2016,evacuated2017,evacuated2016,damage2017,damage2016,zagoraniya2017,zagoraniya2016,fiers2017_100k,fiers2016_100k,deaths2017_100k,deaths2016_100k,injuries2017_100k,injuries2016_100k,population2017,population2016
Центральный АО,Арбат,55.7510662,37.5744204,36.0,35.0,1.0,,3.0,,4.0,11.0,30.0,10.0,6786137.0,199445.0,3.0,2.0,104.66,102.9,8.72,,197.29,5.86,34396.0,34012.0
Центральный АО,Басманный,55.7665425,37.6352491,80.0,83.0,2.0,1.0,7.0,9.0,4.0,3.0,112.0,60.0,63200.0,844775.0,36.0,28.0,72.67,75.43,6.36,8.18,0.57,7.68,110083.0,110042.0
Центральный АО,Замоскворечье,55.7349743,37.6168854,35.0,74.0,,,1.0,1.0,1.0,16.0,16.0,31.0,6501200.0,10119361.0,,1.0,60.48,128.2,1.73,1.73,112.34,175.31,57871.0,57722.0
Центральный АО,Красносельский,55.7765182,37.640349,36.0,34.0,,,3.0,3.0,5.0,3.0,72.0,51.0,,515033.0,14.0,11.0,74.27,70.36,6.19,6.21,,10.66,48474.0,48324.0
Центральный АО,Мещанский,55.7782312,37.611418,23.0,40.0,,,1.0,5.0,4.0,9.0,,15.0,18474.0,206091.0,15.0,14.0,38.26,66.65,1.66,8.33,0.31,3.43,60121.0,60014.0
Центральный АО,Пресненский,55.760243,37.5266734,96.0,121.0,1.0,2.0,6.0,9.0,14.0,17.0,75.0,41.0,46253330.0,11537098.0,15.0,19.0,76.08,95.95,4.76,7.14,366.57,91.49,126178.0,126107.0
Центральный АО,Таганский,55.7407456,37.6554001,61.0,54.0,,1.0,7.0,2.0,14.0,2.0,355.0,130.0,188484.0,401615.0,14.0,26.0,50.84,45.05,5.83,1.67,1.57,3.35,119989.0,119862.0
Центральный АО,Тверской,55.7697969,37.5697909,59.0,92.0,,1.0,10.0,3.0,27.0,10.0,89.0,1019.0,1353660.0,13829863.0,8.0,6.0,76.39,119.29,12.95,3.89,17.53,179.32,77234.0,77123.0
Центральный АО,Хамовники,55.7305435,37.5412224,73.0,62.0,1.0,,3.0,3.0,10.0,12.0,3000.0,,9896124.0,889011.0,27.0,33.0,67.7,57.58,2.78,2.79,91.78,8.26,107821.0,107676.0
Центральный АО,Якиманка,55.7302647,37.5841625,24.0,40.0,,,,1.0,,15.0,100.0,25.0,41813359.0,8491600.0,1.0,,87.39,146.0,,3.65,1522.53,309.94,27463.0,27398.0
