"Российская Федерация, г, Москва ДТП - всего (15,09,2017-29,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"№ п/п";"Дата ДТП";"Район";"Вид ДТП";"Дорога";"КМ";"М";"Адрес";"Погибло";"Ранено";"Кол-во ТС";"Кол-во участников";
"1,0";"29,09,2017";"Северное Бутово";"Столкновение";"";"0";"0";"п Бутово ул Куликовская 18";"0,0";"1,0";"2,0";"3,0";
"2,0";"29,09,2017";"Тверской";"Столкновение";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"5";"0";"г Москва ул Тверская-Ямская 1-я 25";"0,0";"1,0";"2,0";"2,0";
"3,0";"29,09,2017";"Ховрино";"Падение пассажира";"";"0";"0";"г Москва ул Дыбенко 44ас1";"0,0";"1,0";"1,0";"2,0";
"4,0";"29,09,2017";"Орехово-Борисово Южное";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"20";"300";"г Москва км МКАД 21-й ";"0,0";"1,0";"1,0";"1,0";
"5,0";"29,09,2017";"Бабушкинский";"Падение пассажира";"";"0";"0";"г Москва ул Менжинского 1";"0,0";"1,0";"1,0";"2,0";
"6,0";"29,09,2017";"Мещанский";"Наезд на пешехода";"";"0";"0";"г Москва ул Садовая-Сухаревская 2 34СТР1";"0,0";"1,0";"1,0";"2,0";
"7,0";"29,09,2017";"Бабушкинский";"Наезд на пешехода";"";"0";"0";"г Москва ул Менжинского 36";"0,0";"1,0";"1,0";"2,0";
"8,0";"29,09,2017";"Кузьминки";"Наезд на пешехода";"";"0";"0";"г Москва ул Юных Ленинцев 56";"0,0";"1,0";"1,0";"2,0";
"9,0";"29,09,2017";"Басманный";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Ладожская 5 12стр,2";"0,0";"1,0";"2,0";"2,0";
"10,0";"29,09,2017";"Пресненский";"Столкновение";"";"0";"0";"г Москва проезд Красногвардейский 1-й 4кАстр1";"0,0";"1,0";"2,0";"2,0";
"11,0";"29,09,2017";"Алексеевский";"Падение пассажира";"";"0";"0";"г Москва пр-кт Мира 109";"0,0";"1,0";"1,0";"2,0";
"12,0";"29,09,2017";"Кокошкино";"Наезд на пешехода";"";"0";"0";"дп Кокошкино ул Дзержинского 1";"0,0";"2,0";"2,0";"4,0";
"13,0";"29,09,2017";"Сосенское";"Наезд на препятствие";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"22";"0";"  ";"0,0";"1,0";"1,0";"2,0";
"14,0";"29,09,2017";"Михайлово-Ярцевское поселение";"Наезд на пешехода";"";"0";"0";"п Шишкин Лес  ";"0,0";"1,0";"1,0";"2,0";
"15,0";"29,09,2017";"Вороновское поселение";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"53";"40";"  ";"0,0";"1,0";"3,0";"3,0";
"16,0";"29,09,2017";"Пресненский";"Наезд на пешехода";"";"0";"0";"г Москва проезд Шмитовский 39";"0,0";"1,0";"1,0";"2,0";
"17,0";"29,09,2017";"Хорошевский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинградский 37а корпус 4";"0,0";"1,0";"1,0";"2,0";
"18,0";"29,09,2017";"Вороновское поселение";"Наезд на стоящее ТС";"";"0";"0";"  ";"0,0";"1,0";"2,0";"2,0";
"19,0";"29,09,2017";"Фили-Давыдково";"Столкновение";"";"0";"0";"г Москва пр-кт Кутузовский 9 км";"0,0";"1,0";"3,0";"3,0";
"20,0";"29,09,2017";"Коптево";"Наезд на пешехода";"";"0";"0";"г Москва ул Михалковская 13";"0,0";"2,0";"1,0";"3,0";
"21,0";"29,09,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва ул Долгоруковская 15к2";"0,0";"1,0";"1,0";"2,0";
"22,0";"29,09,2017";"Обручевский";"Падение пассажира";"";"0";"0";"г Москва ул Новаторов 5";"0,0";"1,0";"1,0";"2,0";
"23,0";"29,09,2017";"Можайский";"Наезд на пешехода";"";"0";"0";"г Москва ул Гвардейская 9, к,1";"0,0";"1,0";"1,0";"2,0";
"24,0";"29,09,2017";"Строгино";"Наезд на препятствие";"";"0";"0";"г Москва проезд Лыковский 42";"0,0";"1,0";"1,0";"2,0";
"25,0";"29,09,2017";"Проспект Вернадского";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Вернадского 88";"0,0";"1,0";"1,0";"2,0";
"26,0";"29,09,2017";"Тверской";"Наезд на велосипедиста";"М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)";"697";"0";"г Москва пл Тверская Застава 7";"0,0";"1,0";"2,0";"2,0";
"27,0";"29,09,2017";"Красносельский";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул Краснопрудная 13";"1,0";"0,0";"2,0";"2,0";
"28,0";"28,09,2017";"Гольяново";"Столкновение";"";"0";"0";"г Москва ш Щёлковское 56";"0,0";"1,0";"3,0";"3,0";
"29,0";"28,09,2017";"Северное Тушино";"Наезд на пешехода";"";"0";"0";"г Москва ул Планерная 7";"0,0";"1,0";"1,0";"2,0";
"30,0";"28,09,2017";"Донской";"Столкновение";"";"0";"0";"г Москва ул Тульская М, 45";"0,0";"1,0";"2,0";"2,0";
"31,0";"28,09,2017";"Новокосино";"Падение пассажира";"";"0";"0";"г Москва ул Городецкая 9к1";"0,0";"1,0";"1,0";"2,0";
"32,0";"28,09,2017";"Щаповское поселение";"Наезд на пешехода";"";"0";"0";"п Курилово ул Суворова 2";"0,0";"1,0";"1,0";"2,0";
"33,0";"28,09,2017";"Кузьминки";"Столкновение";"";"0";"0";"г Москва пр-кт Волгоградский 166";"0,0";"1,0";"2,0";"2,0";
"34,0";"28,09,2017";"Донской";"Наезд на пешехода";"";"0";"0";"г Москва проезд Рощинский 1-й 4 К1";"1,0";"0,0";"1,0";"2,0";
"35,0";"28,09,2017";"Бескудниковский";"Наезд на стоящее ТС";"";"0";"0";"г Москва ул 800-летия Москвы 24";"0,0";"1,0";"3,0";"3,0";
"36,0";"28,09,2017";"Северный";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 159а";"0,0";"1,0";"2,0";"2,0";
"37,0";"28,09,2017";"Обручевский";"Наезд на пешехода";"";"0";"0";"г Москва ул Воронцовские Пруды 2";"0,0";"1,0";"1,0";"2,0";
"38,0";"28,09,2017";"Котловка";"Наезд на пешехода";"";"0";"0";"г Москва б-р Нагорный 7";"0,0";"1,0";"1,0";"2,0";
"39,0";"28,09,2017";"Южное Бутово";"Наезд на пешехода";"";"0";"0";"г Москва ул Южнобутовская 125";"0,0";"1,0";"1,0";"2,0";
"40,0";"28,09,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва ул Керченская 2";"0,0";"1,0";"1,0";"2,0";
"41,0";"28,09,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва ул Керченская 13, строение 1";"0,0";"1,0";"1,0";"2,0";
"42,0";"28,09,2017";"Южное Медведково";"Столкновение";"";"0";"0";"г Москва ул Полярная 17";"0,0";"3,0";"2,0";"4,0";
"43,0";"28,09,2017";"Сокол";"Наезд на пешехода";"";"0";"0";"г Москва ул Панфилова 2 корпус 1";"0,0";"1,0";"1,0";"2,0";
"44,0";"28,09,2017";"Тверской";"Наезд на пешехода";"";"0";"0";"г Москва пл Театральная 2";"0,0";"2,0";"3,0";"5,0";
"45,0";"28,09,2017";"Кунцево";"Падение пассажира";"";"0";"0";"г Москва ул Ярцевская 24";"0,0";"1,0";"1,0";"2,0";
"46,0";"28,09,2017";"Алексеевский";"Столкновение";"";"0";"0";"г Москва пр-кт Мира 146";"0,0";"1,0";"2,0";"2,0";
"47,0";"28,09,2017";"Москворечье-Сабурово";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Пролетарский 6 К1";"0,0";"1,0";"1,0";"2,0";
"48,0";"28,09,2017";"Арбат";"Наезд на велосипедиста";"";"0";"0";"г Москва пл Арбатская 1";"0,0";"1,0";"2,0";"2,0";
"49,0";"28,09,2017";"Южнопортовый";"Наезд на препятствие";"";"0";"0";"г Москва ул Шарикоподшипниковская 11, стр,5";"0,0";"1,0";"1,0";"2,0";
"50,0";"28,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 43";"0,0";"2,0";"2,0";"4,0";
"51,0";"28,09,2017";"Хорошево-Мневники";"Столкновение";"";"0";"0";"г Москва пр-кт Маршала Жукова 64 к, 1";"0,0";"1,0";"2,0";"3,0";
"52,0";"28,09,2017";"Строгино";"Столкновение";"";"0";"0";"г Москва ул Твардовского 6";"0,0";"2,0";"2,0";"2,0";
"53,0";"28,09,2017";"Строгино";"Наезд на пешехода";"";"0";"0";"г Москва б-р Строгинский 9";"0,0";"1,0";"1,0";"2,0";
"54,0";"28,09,2017";"Зюзино";"Наезд на пешехода";"";"0";"0";"г Москва ул Одесская 3";"0,0";"1,0";"1,0";"2,0";
"55,0";"28,09,2017";"Северное Измайлово";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"105";"900";"г Москва  ";"0,0";"1,0";"3,0";"3,0";
"56,0";"28,09,2017";"Печатники";"Наезд на пешехода";"";"0";"0";"г Москва ул Батюнинская 1А стр,1";"0,0";"1,0";"1,0";"2,0";
"57,0";"28,09,2017";"Западное Дегунино";"Падение пассажира";"";"0";"0";"г Москва ш Коровинское 16Б";"0,0";"1,0";"1,0";"2,0";
"58,0";"27,09,2017";"Тимирязевский";"Наезд на велосипедиста";"";"0";"0";"г Москва ш Дмитровское 37 корп, 1";"0,0";"1,0";"3,0";"3,0";
"59,0";"27,09,2017";"Люблино";"Столкновение";"";"0";"0";"г Москва ул Ставропольская 70";"0,0";"1,0";"2,0";"2,0";
"60,0";"27,09,2017";"Южное Бутово";"Падение пассажира";"";"0";"0";"г Москва ул Мелитопольская 2-я 15";"0,0";"1,0";"1,0";"2,0";
"61,0";"27,09,2017";"Южное Бутово";"Наезд на пешехода";"";"0";"0";"г Москва ул Изюмская 46";"0,0";"1,0";"1,0";"2,0";
"62,0";"27,09,2017";"Северный";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 169,к,3";"0,0";"1,0";"2,0";"2,0";
"63,0";"27,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Наезд на стоящее ТС";"А-106 Рублево-Успенское шоссе";"21";"0";"г Москва  ";"0,0";"1,0";"3,0";"3,0";
"64,0";"27,09,2017";"Митино";"Наезд на пешехода";"";"0";"0";"г Москва ул Митинская 43";"0,0";"1,0";"1,0";"2,0";
"65,0";"27,09,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва пр-кт Мира 92";"0,0";"1,0";"2,0";"2,0";
"66,0";"27,09,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва ул Гарибальди 3 а";"0,0";"1,0";"1,0";"2,0";
"67,0";"27,09,2017";"Восточное Измайлово";"Столкновение";"";"0";"0";"г Москва ул Первомайская 106";"0,0";"1,0";"2,0";"2,0";
"68,0";"27,09,2017";"Киевский";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"62";"100";"  ";"2,0";"0,0";"3,0";"4,0";
"69,0";"27,09,2017";"Тимирязевский";"Столкновение";"";"0";"0";"г Москва ул Тимирязевская 44";"0,0";"2,0";"2,0";"2,0";
"70,0";"27,09,2017";"Сосенское";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"21";"0";"  ";"0,0";"2,0";"2,0";"3,0";
